pdf_name,negative_sentiment_prob
COMBINED-Q4-17-Shareholder-Letter-FINAL,0.4613635241985321
FINAL-Q1-18-Shareholder-Letter,0.4609721601009369
FINAL-Q1-19-Shareholder-Letter,0.46170365810394287
FINAL-Q1-20-Shareholder-Letter,0.46218547224998474
FINAL-Q1-21-Shareholder-Letter,0.4590626657009125
FINAL-Q1-22-Shareholder-Letter,0.4591674506664276
Final-Q1-23-Shareholder-Letter,0.45918670296669006
FINAL-Q2-18-Shareholder-Letter,0.4605914056301117
FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,0.4637402892112732
FINAL-Q2-21-Shareholder-Letter,0.4594995975494385
FINAL-Q2-22-Shareholder-Letter,0.46039730310440063
FINAL-Q2-23-Shareholder-Letter,0.4595879316329956
FINAL-Q3-18-Shareholder-Letter,0.46059322357177734
FINAL-Q3-19-Shareholder-Letter,0.4603516161441803
FINAL-Q3-20-Shareholder-Letter,0.46348199248313904
FINAL-Q3-21-Shareholder-Letter,0.45900759100914
FINAL-Q3-22-Shareholder-Letter,0.4595692455768585
FINAL-Q4-18-Shareholder-Letter,0.4613165855407715
FINAL-Q4-19-Shareholder-Letter,0.46250906586647034
FINAL-Q4-21-Shareholder-Letter,0.45929908752441406
FINAL-Q4-22-Shareholder-Letter,0.4600430428981781
FINAL-Q420-Shareholder-Letter,0.4625270664691925
FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,0.46075430512428284
FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,0.46096357703208923
FINAL_Q3_Letter,0.46019846200942993
Investor-Letter-Q1-2012,0.46083736419677734
Investor-Letter-Q2-2012-07,0.4611625075340271
Investor-Letter-Q3-2011,0.46449482440948486
Investor-Letter-Q3-2012-10,0.46147412061691284
Investor-Letter-Q4-2011,0.46124541759490967
Investor-Letter-Q42012-01,0.461581826210022
Investor_Letter_Q12013,0.461517333984375
July-Investor-Letter-1130am,0.4611683785915375
July2014EarningsLetter_7,0.46140608191490173
Q1-11-Letter-to-shareholders,0.46097972989082336
Q114-Earnings-Letter-4,0.462299108505249
Q116LettertoShareholders_W_TABLES_,0.46098950505256653
Q117ShareholderLetterV2FINAL,0.4605446755886078
Q1_15_Earnings_Letter_final_tables,0.4607349932193756
Q2-19-Shareholder-Letter-FINAL,0.46093207597732544
Q213-Investor-Letter,0.4614732265472412
Q216LettertoShareholders_FINAL_w_Tables,0.46110305190086365
Q2_17_Shareholder_Letter,0.4615667760372162
Q313-Earnings-Letter-10,0.4614068269729614
Q3_14_Letter_to_shareholders,0.46230220794677734
Q3_17_Shareholder_Letter_COMBINED,0.4618588984012604
Q4-13-Letter-to-shareholders,0.4618668556213379
Q416ShareholderLetter,0.4609079957008362
Q4_14_Letter_to_shareholders,0.46179676055908203
Q4_15_Letter_to_Shareholders_-_COMBINED,0.46112969517707825
